id,recruiter,post_url,job_title,job_type,publication_date,expiration_date,job_description,job_requirements,location
1,1,https://www.tanitjobs.com/job/551795/téléprospecteurs/?backPage=&searchID=1560199048.8405,Téléprospecteurs,CDI,13/05/2019,,"Groupe Internationale Leader dans son domaine désire renforcer son département Phoning par des profils de qualité
Poste Proposé : 15 téléprospecteurs
Exigence du poste :
*Excellent Français (Sans accent, la connaissance de la culture française serait un atout)
*Capable de mener une conversation téléphonique avec aisance.
* Une expérience minimale de deux ans dans la télévente
*Maitrise des techniques commerciales au téléphone. 
*Organisé-Dynamique-Motivé et Souriant.
*Ayant un excellent relationnel avec un sens prononcé pour l’écoute et le service client.
Offre :
Cadre de travail agréable
Formation Métier assurée par nos formateurs attitrés et payée
Salaire Fixe + prime entre 1500 et 2000 Dinars + Challenges.
Nous proposons différentes plages horaires, & Repos Samedi – dimanche
Poste Stable avec Contrat de travail selon la situation du candidat CDI-SIVP - CAP.
Affiliation CNSS dès l'embauche
Pour Postuler envoyer votre CV à : candidature@jupiter-tunisie.com",12/06/2019,"La Charguia II, Tunis, Tunisie"
2,2,https://www.tanitjobs.com/job/553126/développeur-net/?backPage=&searchID=1560199048.8405,Développeur .NET,CDI,17/05/2019,16/06/2019,"Pour accompagner notre croissance, nous recherchons des Référents technique en .Net.Vous travaillerez pour des clients finaux exigeants dans des secteurs d’activités fonctionnellement riches et complexes.Au sein de l’équipe que vous rejoindrez, vous interviendrez sur l'ensemble du cycle de vie des projets de nos clients depuis les phases amont de conseil/conception, jusqu'à la mise en service des solutions.
 
Vous aurez notamment à intervenir sur :
• Coordination du travail des développeurs• La revue des codes automatisées et manuelles• La rédaction des dossiers de programmation• Développer les tests unitaires• Rédiger de la documentation technique• Définition de la stratégie informatique• Réaliser les cadrages et les conceptions techniques
Votre profil :

Titulaire d'un diplôme d'ingénieur ou universitaire équivalent (BAC+5) ou d'une maîtrise, vous justifiez d’une expérience dans l’architecture applicative et le développement .NET
Plus qu'un profil, nous recherchons une personnalité.
","Vous êtes à la recherche d'une nouvelle opportunité ?Vous avez entre 2 ans et 5 ans d'expériences et souhaitez rejoindre une équipe ambitieuse & dynamique ?Vous maîtrisez les compétences suivantes .NET core, C, C#, JavaScript, HTML, Angular5, SQL ; Micro services : docker, kubernetes, Vous avez une très bonne maîtrise dans la conception d’applications riches (WPF…) ou Web (ASP.NET Web MVC…) et de briques techniques d’intégration (WCF, BizTalk, Services Bus, Logic App…)Aimant relever des challenges au quotidien, vous savez travailler en autonomie et être force de proposition auprès de vos interlocuteurs afin d’apporter une valeur ajoutée à vos projets.Votre sens relationnel et votre goût du contact client sont des qualités essentielles pour réussir à ce poste. De plus, vous souhaitez vous impliquer dans le développement d’une société en pleine expansion.Curieux de ce qu'Amaris peut vous offrir aujourd'hui, envoyez-nous votre candidature.Les contrats proposés sont des CDI","Tunis, Tunisie"
3,3,https://www.tanitjobs.com/job/553223/consultant-formateur-java-jee/?backPage=&searchID=1560199048.8405,Consultant Formateur JAVA JEE,CDI,17/05/2019,,"Groupe ADAMING Tunisie recrute en CDI un Consultant Formateur JAVA JEE pour un poste en Tunisie avec des déplacements fréquents en France
Profil souhaité :
--> Vous avez une expérience confirmée en JAVA JEE et une approche plus large de la programmation orientée objet. 
--> Vous avez envie de transmettre votre savoir et vous appréciez l'échange. 
--> Vous savez prendre du recul quant aux différents concepts afin d'en expliquer le fonctionnement. 
--> Justifiant d'une expérience de 2 années minimum dans un environnement Java/ JEE, vous avez mis en oeuvre divers projets. 
--> Vous disposez d'une vision transverse et maîtrisez les concepts objets avancés, architectures distribuées et architectures de services, principaux design patterns, etc. 
Qualités complémentaires recherchées :
--> Goût du travail en équipe 
--> Aisance relationnelle, facilité à s'exprimer en public, capacité de synthèse rédactionnelle et pédagogique. 
 
Pour postuler, envoyez votre CV ",16/06/2019,"Centre Urbain Nord, Tunis, Tunisie"
4,4,https://www.tanitjobs.com/job/554326/médecin-directeur-centre-de-thalassothérapie/?backPage=&searchID=1560199048.8405,Médecin directeur centre de Thalassothérapie,Temps plein,21/05/2019,20/06/2019,"Société leader dans le domaine de la thalassothérapie, cherche pour son besoin un directeur (H/F) centre de thalassothérapie  à Yasmine à Hammamet.
 Veuillez envoyer votre CV par Email: olympe.grh@gmail.com
 ","- Diplôme national ou équivalent en médecine générale
- Pratique de la langue Russe est un atout","Hammamet Sud, Tunisie"
5,5,https://www.tanitjobs.com/job/511417/chef-d-équipe-java-j2ee-h-f/?backPage=&searchID=1560199048.8405,Chef d'équipe Java /J2EE (H/F),CDI,29/12/2018,29/12/2019,"La société Manwork expert en recrutement et placement du personnel recrute pour l'un de ses clients  basée à Munich/Allemagne et possède deux succursales en Suisse et en Tunisie, leader dans le domaine de la transformation digitale, des développeurs java/J2EE.","Missions du poste
Les développeurs Full Stack vont travailler pour le compte des multinationales Allemandes opérant dans plusieurs secteurs.
 Activités principales :

Développement de systèmes logiciels utilisant les technologies actuelles.


Spécification des processus métier et spécification de l'architecture système.


Analyse et conception avec les méthodes et outils actuels.


Assurer la qualité du logiciel.

Profil recherché
- Avoir une formation : Bac+5 ou plus.
-Possède au moins  3 ans d'expérience professionnelle.
-Très bonne maîtrise de l’environnement Java .
Compétences requises
Une expérience approfondie dans le traitement des technologies suivantes sera appréciée:

JS-Frameworks (par example JQuery, AngularJS, Bootstrap).
Spring, Hibernate, JAVA, Angular, JQuery, bootstrap, Maven, Sonar, Jenkins.
Technologie Mobile: Android, iOS, Phonegap, Ionic.
Bases de données relationnelles (par exemple Oracle, MySQL, PostgreSQL).
Méthodologie AGILE Scrum.

Atouts recherchés 

Avoir le sens de communication et d’écoute.
Sens d’analyse.
Bon engagement.
Responsable, rigoureux et discipliné.
Etre fort en proposition d’améliorations.
Possède un esprit d'initiative.

Nous vous offrons :

 La participation dans des projets de grandes envergures destinées au  marché Européen.
  Références multinationales (BMW, AUDIT, Banques,…).
 L’intégration d’une équipe jeune et  motivée.
 Carrière et stabilité.
 Une rémunération motivante.
Travail organisé avec les dernières méthodologies.
 Tickets restaurant.
 Primes/projets.
 Convention de sport: Notre partenaire CALIFORNIA GYM.


Poste à pourvoir en CDI.

 
Merci d’envoyer votre CV par e-mail :
recrute@manwork.tn en indiquant l’intitulé du poste.
Et inscrivez-vous sur notre site www.manwork.tn
 ","Tunis, Tunisie"
6,2,https://www.tanitjobs.com/job/553123/oracle-hrms-techno-functional-consultant/?backPage=&searchID=1560199048.8405,ORACLE HRMS TECHNO-FUNCTIONAL CONSULTANT,CDI,17/05/2019,16/06/2019,"Amaris is currently expanding its software development team in Abu Dhabi and is looking for an experienced Oracle HRMS Techno-Functional Consultant.
Your responsibilities while on projects are:

Understanding business requirements and map them into systems functionalities. Functional specification documents.
Providing effort estimate, cost and delivery timelines for requirements mentioned in the functional specification in a timely manner.
Conducting impact analysis before development of an enhancement request, solution breakdown, communication to the team and end users and documentation of feasible solutions.
Preparation of design documents (Technical & Functional) based on functional specification and solution identified.
Developing and delivering functionally mentioned in the functional specification. Unit testing to be completed before delivery.
Preparing test plan and test cases
Assisting business & in-house IT team during system testing and user acceptance testing.
Fixing software defects identified during software acceptance phase.
Deployment of enhancements into Production under supervision of in-house IT Team.
Providing user guide pertaining to the enhancement.
Providing post production support.
","
At least 8-10 years of professional experience.
Fluent in English.
You have received a technical education: computer science, engineering.
Experience in Banking and Financial Services Industry will be an added advantage.
Strong technical knowledge in XML publisher, workflow builder, OAF (Oracle Application Form) & PL/SQL.
Good knowledge of customization and enhancement updates of the HRMS module.
Open to travel.

 ",Abu Dhabi - Abou Dabi - Émirats arabes unis
7,7,https://www.tanitjobs.com/job/551821/des-commerciaux-confirmés/?backPage=&searchID=1560199048.8405,Des Commerciaux Confirmés,Temps plein,13/05/2019,12/06/2019," 
Neo-Call est une succursale de Neo-Group, entreprise Belge opérant dans le secteur des nouvelles technologies et celui des solutions énergétiques.
Nous sommes implantés en Tunisie depuis 2014 et nous vous accueillons dans un cadre de travail convivial et un emplacement stratégique (Avenue Kheireddine Pacha à Montplaisir, à proximité de tous les moyens de transports et toutes les commodités).
Neo Call propose la meilleure rémunération parmi ses concurrents.
Nous recrutons actuellement pour le compte de nos partenaires de privilège : Des prospecteurs pour une opération simple de prise de rendez-vous. 
NOUS OFFRONS :

Salaire Fixe NET à partir de 900 
CDI à l’embauche.
Titularisation automatique dès la fin de votre période d’essai.
Barème de commissionnement non plafonné et cumulatif.
Paliers ascendants de salaires selon les performances : (900, 1000, 1100, 1250).
Challenges journaliers, hebdomadaires et mensuels.
38,5 H de travail par semaine (samedi & dimanche OFF).
Prime de parrainage de 300
Plan de carrière personnalisé.
Formations produits et métiers certifiantes.
Activités socioculturelles collectives.

POUR POSTULER : 
Envoyez votre CV par mail ou contactez-nous directement au 55 949 903.
 
 ","COMPETENCES REQUISES : 

Expérience réussie dans la prise de rendez-vous.
Aisance téléphonique en émission d’appels.
Assiduité et sérieux.
Profil ambitieux et animé d’un esprit de compétition.

POUR POSTULER :
Envoyez votre CV par mail ou contactez-nous directement au 55 949 903.","Tunis, Tunisie"
8,8,https://www.tanitjobs.com/job/552272/nous-recrutons-un-développeur-magento/?backPage=&searchID=1560199048.8405,"Nous recrutons un Développeur  ""Magento""",CDI,14/05/2019,,"Nous recrutons un développeur Magento afin de rejoindre l’équipe de développeurs PHP Magento au sein d’une société spécialisé E-commerce.Le développeur va intervenir sur différents projets transverses et avoir une vision à 360 degrés, en étroite collaboration avec les e-business managers, les webdesigners et les experts SEO.Missions :
-Développement fonctionnel et technique pour la mise en place de nouveaux sites, Multilingue -Développement et maintenance des sites existants-Développement de solutions génériques pour la Factory  -Migration de Magento1.9 vers 2.0
Profil recherché:
-Connaissance indispensable en Magento sinon s'abstenir- PHP (3 ans et plus)- Magento 1 et 2 (1 à 2 ans) - MySQL, HTML/CSS et Javascript 
 -Bonne connaissance des technologies Web et Open Source dans leur ensemble : Wordpress , docker, etc -Vous êtes rigoureux(se), autonome, vous avez l’esprit d’équipe, le sens de l’organisation et avez d’excellentes qualités relationnelles",13/06/2019,"Les Berges du Lac, Tunis, Tunisie"
9,2,https://www.tanitjobs.com/job/553124/vas-integrator/?backPage=&searchID=1560199048.8405,VAS Integrator,CDI,17/05/2019,16/06/2019,"Amaris is launching a new opportunity and is looking for a VAS Integrator to join our team from Ajman.
Your role:
• Analyzing, building and describing the solution including the offers and third party software• Writing Solution Integration Plan (SIP) by describing the complete hardware solution (Servers, racks, firewall, …)• Realizing the hardware acceptance• Installing and deploying the solutions and 3P on hardware• Writing the customer acceptance plan possibly in collaboration with a Validation team• Configuring clusters to manage application for HA (High Availability)• Contributing to the global solution integration and test strategy• Performing the integration test on the solution• Ensuring configuration management on integration resources• Integrating and deploying the solution at the customer site within the customer infrastructure• Integrating and deploying the solution in hosted mode at the data centers• Connecting the solution to external flows (SMSC/MSC/IN…)• Executing the acceptance test plan with the customers• Guaranteeing the solution integrity according to customer requirements• Providing assistance to the customer after the installation• Training the customer on the deployed solution when necessary• Providing support to development and validation teams all along the project• Ensuring the compliance with rules of implementation and deployment• Ensuring that the customization effectively meets customer needs• Writing the Operation and Maintenance guide which permits the transition from project team to support team","• Software integration on linux based systems• Fluent in French and English languages • Unix/Linux/Solaris system administration skills• Strong experience with VAS (Value Added Service)• Good Experience with (VmWare, Virtualization) • Shell scripting experience• Familiarization with Voicemail, MMS and SMS solutions and data• Experience in support for real time systems and large scale solutions• Experience with messaging software integration, software connecting• Customer relationship Management• Oral & presentation skills",Ajman - Émirats arabes unis
10,10,https://www.tanitjobs.com/job/558461/responsable-service-client/?backPage=&searchID=1560199048.8405,Responsable Service Client,CDI,07/06/2019,07/07/2019,"Avec 12 ans d'existence, 225 collaborateurs et une certification ISO 9001, Active Contact poursuit sa croissance en s’appuyant sur son positionnement haut de gamme et qualitatif.
Dans le cadre de cette croissance, nous recrutons :
Un Responsable Service Client
Le responsable service client a pour mission principale de gérer les dossiers des clients avec comme objectifs leur satisfaction et leur fidélisation. Il est à la tête d’une équipe de gestionnaires relations clients aux champs d’actions multiples . Le responsable service client doit savoir réagir vite et de manière optimale pour véhiculer une bonne image auprès du client final.
A ce titre, vos principales missions seront:

Manager votre équipe (collaborateurs et superviseurs) :

- Encadrer votre équipe dans ses missions au quotidien, sur différentes activités (appels entrants, appels sortants, backoffice etc.) ;
- Animer les réunions d’équipes et les débriefings (relayer l’information et garantir une bonne communication) ;
- Assurer la montée en compétences de votre équipe et garantir sa performance ;
- Garantir la cohésion de votre équipe et transmettre une bonne dynamique ;
- Valoriser les bonnes performances individuelles et collectives.

Assurer les missions de contrôle de la production :

- Définir et suivre les indicateurs de mesure de la production au travers des reportings ;
- Présenter les résultats (objectifs de performance, de qualité, de productivité), analyser les écarts éventuels entre les objectifs et le réel, établir un plan d’actions correctives si besoin ;
- Contrôler la bonne application des procédures relatives à la production.","Votre profil :
Autonome, dynamique, rigoureux et doté d'un excellent esprit d'équipe, vous aurez à cœur de faire progresser vos équipes au quotidien et fédérer autour d'un objectif commun.
Fort d'une expérience significative dans le pilotage d'équipes au sein d'un centre d’appels.
Vous avez les capacités à dimensionner les nouveaux projets et leur mise en place.
Vous disposez d'un esprit de synthèse, d'un sens de l’observation et de l'analyse.
Vous maitrisez parfaitement plusieurs langues à l’oral et à l’écrit. Notamment les langues anglaise et française.
Soft-skills :
Être autonome / prendre des initiatives
Faire preuve de courage managérial et de leadership
Avoir le sens de la communication et être à l’écoute
Être orienté vers la satisfaction client
Nous offrons un package très attractif :
Salaire à la hauteur de votre valeur ajoutée
Une rémunération variable selon la performance de l’activité
Une expérience similaire dans un centre d'appels est exigée.
Envoyez nous votre CV avec la référence RSC/19  appelez notre service recrutement au 29 300 789","Tunis, Tunisie"
